,,,,,short term DS2016 - DM2016,,Long term comparison 1: DM2030 - DM2016,,,Long term comparison 2: DS2030 - DM2016,,,Change in nuisance level,,,,,Total number of dwellings,185,,,,
,DM 2016,DM 2030,DS 2016,DS 2030,"LA10,18hr change",Imapct magnitude,"LA10,18hr change","Lnight,outside change",Imapct magnitude,"LA10,18hr change","Lnight,outside change",Impact magnitude,DM,DS,,,,Other sesntive receptors,2,,,,
Village Farm Bungalow,65.2,65.7,65.3,66.0,0.1,Negligible,0.5,0.5,Negligible,0.8,0.7,Negligible,1%,10%,,,,,,,,,
Hillcrest Grove 1a,62.5,63.0,62.6,63.4,0.1,Negligible,0.5,0.5,Negligible,0.9,0.8,Negligible,1%,10%,,,,short term DS - DM in 2016,Magnitude of impact,Daytime,,,
Hillcrest Grove 1,64.0,64.5,64.1,64.8,0.1,Negligible,0.5,0.5,Negligible,0.8,0.7,Negligible,1%,10%,,,,,,Number of dwellings,Number of other sensitive receptors,,
Hillcrest Grove 13,64.5,65.1,64.5,65.2,0.0,No change,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,0.1-0.9 ,Negligible,14,0,,
Hillcrest Grove 21,64.0,64.6,64.0,64.7,0.0,No change,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,1.0-2.9,Minor,0,0,,
The Paddock 10,51.2,51.8,51.4,52.1,0.2,Negligible,0.6,0.5,Negligible,0.9,0.8,Negligible,0%,12%,,,,3.0-4.9 ,Moderate,0,0,,
The Paddock 12,51.0,51.6,51.1,51.9,0.1,Negligible,0.6,0.5,Negligible,0.9,0.8,Negligible,0%,10%,,,,5+,Major,0,0,,
The Paddock 14,51.2,51.8,51.2,52.0,0.0,No change,0.6,0.5,Negligible,0.8,0.7,Negligible,0%,0%,,,,0,,28,,,
The Paddock 17,50.6,51.1,50.5,51.3,-0.1,-,0.5,0.5,Negligible,0.7,0.6,Negligible,0%,0%,,,,0.1-0.9,,74,1,,
North Close 14,67.4,67.8,67.4,68.1,0.0,No change,0.4,0.4,Negligible,0.7,0.6,Negligible,1%,2%,,,,1.0-2.9,,16,1,,
North Close15,59.6,58.9,59.4,60.2,-0.2,-,-0.7,-0.6,-,0.6,0.5,Negligible,-1%,1%,,,,3.0-4.9 ,,45,,,
North Close 7,56.7,56.9,56.1,56.8,-0.6,-,0.2,0.2,Negligible,0.1,0.1,Negligible,0%,0%,,,,5+,,8,,,
North Close 19,61.8,62.3,61.7,62.5,-0.1,-,0.5,0.5,Negligible,0.7,0.6,Negligible,1%,1%,,,,,,,,,
North Close 22,62.9,63.3,62.6,63.4,-0.3,-,0.4,0.4,Negligible,0.5,0.5,Negligible,1%,1%,,,,,,,,,
North Close 1,64.6,64.9,64.2,64.9,-0.4,-,0.3,0.3,Negligible,0.3,0.3,Negligible,1%,1%,,,,long term DM in 2030 - DM in 2016,,Daytime,,Night time,
North Lane 33,59.2,60.1,55.3,56.1,-3.9,-,0.9,0.8,Negligible,-3.1,-2.8,-,1%,-3%,,,,,,Number of dwellings,Number of other sensitive receptors,Number of dwellings,
North Lane 25,58.7,59.5,54.9,55.7,-3.8,-,0.8,0.7,Negligible,-3.0,-2.7,-,1%,-3%,,,,0.1-2.9,Negligible,180,,180,
North Lane 15,59.4,60.2,56.3,57.1,-3.1,-,0.8,0.7,Negligible,-2.3,-2.1,-,1%,-3%,,,,3.0-4.9,Minor,0,2,0,
North Lane 11,59.9,60.7,56.8,57.6,-3.1,-,0.8,0.7,Negligible,-2.3,-2.1,-,1%,-3%,,,,5.0 - 9.9,Moderate,0,,0,
North Lane 7,60.4,61.2,56.6,57.3,-3.8,-,0.8,0.7,Negligible,-3.1,-2.8,-,1%,-4%,,,,10+ ,Major,0,,0,
Midbec,59.1,59.8,55.6,56.3,-3.5,-,0.7,0.6,Negligible,-2.8,-2.5,-,1%,-3%,,,,0,,1,,1,
Ashgill,59.2,60.0,55.6,56.3,-3.6,-,0.8,0.7,Negligible,-2.9,-2.6,-,1%,-3%,,,,0.1-2.9,,4,,4,
My Dene,58.6,59.4,55.3,56.1,-3.3,-,0.8,0.7,Negligible,-2.5,-2.3,-,1%,-3%,,,,3.0-4.9,,0,,0,
